# model split sequences_per_A_rank mtp_nextn microbatches backend
deepseek_v4_flash_fp4 4:4 8 2 1 deepep
deepseek_v4_flash_fp4 4:4 16 2 1 mega
deepseek_v4_flash_fp4 4:4 16 2 1 deepep
deepseek_v4_flash_fp4 4:4 32 2 1 mega
deepseek_v4_flash_fp4 4:4 32 2 1 deepep
deepseek_v4_flash_fp4 4:4 2 2 2 mega
deepseek_v4_flash_fp4 4:4 2 2 2 deepep
deepseek_v4_flash_fp4 4:4 4 2 2 mega
deepseek_v4_flash_fp4 4:4 4 2 2 deepep
deepseek_v4_flash_fp4 4:4 8 2 2 mega
deepseek_v4_flash_fp4 4:4 8 2 2 deepep
deepseek_v4_flash_fp4 4:4 16 2 2 mega
deepseek_v4_flash_fp4 4:4 16 2 2 deepep
deepseek_v4_flash_fp4 4:4 32 2 2 mega
deepseek_v4_flash_fp4 4:4 32 2 2 deepep
deepseek_v4_flash_fp4 4:4 4 2 4 mega
deepseek_v4_flash_fp4 4:4 4 2 4 deepep
deepseek_v4_flash_fp4 4:4 8 2 4 mega
deepseek_v4_flash_fp4 4:4 8 2 4 deepep
deepseek_v4_flash_fp4 4:4 16 2 4 mega
deepseek_v4_flash_fp4 4:4 16 2 4 deepep
deepseek_v4_flash_fp4 4:4 32 2 4 mega
deepseek_v4_flash_fp4 4:4 32 2 4 deepep
deepseek_v4_pro_fp4 2:6 1 0 1 mega
deepseek_v4_pro_fp4 2:6 1 0 1 deepep
deepseek_v4_pro_fp4 2:6 4 0 1 mega
deepseek_v4_pro_fp4 2:6 4 0 1 deepep
deepseek_v4_pro_fp4 2:6 8 0 1 mega
deepseek_v4_pro_fp4 2:6 8 0 1 deepep
deepseek_v4_pro_fp4 2:6 16 0 1 mega
deepseek_v4_pro_fp4 2:6 16 0 1 deepep
deepseek_v4_pro_fp4 2:6 32 0 1 mega
deepseek_v4_pro_fp4 2:6 32 0 1 deepep
deepseek_v4_pro_fp4 2:6 2 0 2 mega
deepseek_v4_pro_fp4 2:6 2 0 2 deepep
deepseek_v4_pro_fp4 2:6 4 0 2 mega
deepseek_v4_pro_fp4 2:6 4 0 2 deepep
deepseek_v4_pro_fp4 2:6 8 0 2 mega
deepseek_v4_pro_fp4 2:6 8 0 2 deepep
deepseek_v4_pro_fp4 2:6 16 0 2 mega
deepseek_v4_pro_fp4 2:6 16 0 2 deepep
deepseek_v4_pro_fp4 2:6 32 0 2 mega
deepseek_v4_pro_fp4 2:6 32 0 2 deepep
deepseek_v4_pro_fp4 2:6 4 0 4 mega
deepseek_v4_pro_fp4 2:6 4 0 4 deepep
deepseek_v4_pro_fp4 2:6 8 0 4 mega
deepseek_v4_pro_fp4 2:6 8 0 4 deepep
deepseek_v4_pro_fp4 2:6 16 0 4 mega
deepseek_v4_pro_fp4 2:6 16 0 4 deepep
deepseek_v4_pro_fp4 2:6 32 0 4 mega
deepseek_v4_pro_fp4 2:6 32 0 4 deepep
deepseek_v4_pro_fp4 2:6 1 2 1 mega
deepseek_v4_pro_fp4 2:6 1 2 1 deepep
deepseek_v4_pro_fp4 2:6 4 2 1 mega
deepseek_v4_pro_fp4 2:6 4 2 1 deepep
deepseek_v4_pro_fp4 2:6 8 2 1 mega
deepseek_v4_pro_fp4 2:6 8 2 1 deepep
deepseek_v4_pro_fp4 2:6 16 2 1 mega
